shelter_name,address,latitude,longitude,is_indoor,capacity,nearest_aqi_station,nearest_aqi_value,distance_to_station_km,risk_level,risk_reason,analysis_time
富興國小,太平街8號,24.6868,120.9885,True,3412,新竹,42,14.28,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
東庄社區活動中心,7鄰八德一路66號,24.6871,120.8933,True,20,新竹,42,15.96,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
竹興國小-操場,竹圍街27號,24.687124,120.864955,False,300,新竹,42,17.48,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
四結社區活動中心,光榮北路198號,24.6873,121.7739,True,93,宜蘭,33,0.71,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
頭份國小操場,中正路219號,24.688116,120.912124,False,200,新竹,42,15.05,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
新南國小-操場,五谷街2號,24.688226,120.884878,False,500,新竹,42,16.27,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
竹林社區活動中心,復興路二段122號,24.6883,121.7658,True,148,宜蘭,33,0.7,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
協和社區活動中心,五結路2段199號,24.6883,121.8045,True,161,宜蘭,33,3.47,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
竹林國小體育館,復興路二段128號,24.6887,121.7661,True,357,宜蘭,33,0.64,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
峨眉國小,峨眉街4號,24.68874,121.02014,True,390,新竹,42,14.89,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
李科永圖書館,永貞路二段196號,24.689053,120.886019,True,300,新竹,42,16.13,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
竹南運動公園,17鄰永貞路二段196號,24.689128,120.886045,False,5000,新竹,42,16.12,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
義興分校,8鄰51號,24.6895,121.1778,True,60,新竹,42,25.34,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
建國國中操場,建國路119號,24.68975,120.874545,False,250,新竹,42,16.68,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
富興社區活動中心,1鄰33號,24.69036,120.98663,True,75,新竹,42,13.86,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
峨眉國中,峨眉街54號,24.6908,121.0181,True,590,新竹,42,14.6,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
竹興社區活動中心-竹南鎮老人文康活動中心,新興街48巷6號,24.6909,120.8605,True,400,新竹,42,17.42,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
頭份國中操場,中央路275號,24.6921,120.901115,False,250,新竹,42,15.1,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
中盛社區活動中心,5鄰283號,24.6922,121.03017,True,25,新竹,42,14.93,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
蟠桃國小操場,信東路285號,24.692772,120.906679,False,200,新竹,42,14.79,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
大隱社區臨時收容站,三星路1段533巷48號,24.6929,121.7274,True,123,宜蘭,33,4.35,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
八大庄一百甲城煌廟,五結路一段120號,24.6929,121.828,True,51,宜蘭,33,5.81,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
上埔社區活動中心室內,上埔路85號,24.69297,120.922781,True,60,新竹,42,14.17,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
萬德社區二次收容,楓林九路61號,24.6931,121.7282,True,48,宜蘭,33,4.27,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
萬富社區臨時收容站,7鄰萬富路59-2號,24.6931,121.7282,True,63,宜蘭,33,4.27,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
蟠桃社區活動中心,22鄰中興街150號,24.6937,120.9028,True,125,新竹,42,14.87,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
忠孝社區活動中心,2鄰忠孝2路83號,24.6937,120.9114,True,90,新竹,42,14.51,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
照南國小活動中心,光復路331號,24.694078,120.87945,True,500,新竹,42,16.01,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
佳興社區活動中心,光復路452號,24.6953,120.8797,True,100,新竹,42,15.88,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
嘉興國小,3鄰麥樹仁177號,24.6953,121.2011,True,50,新竹,42,27.02,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
建國國小操場,建國路80號,24.695407,120.909781,False,200,新竹,42,14.4,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
孝威社區活動中心,孝威路322號,24.6961,121.8117,True,168,宜蘭,33,4.18,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
